"user_id","count","total_price"
1050002,33,312556
1050006,2,10584
1050007,2,5292
1050009,6,46184
1050011,40,466146
1050012,1,7938
1050015,2,25855
1050016,2,8996
1050017,1,2646
1050020,1,2646
1050021,5,31639
1050022,1,7938
1050026,1,3969
1050030,13,109870
1050032,1,15082
1050033,23,255112
1050035,22,212146
1050038,11,123401
1050040,6,53653
1050041,2,11907
1050042,17,168529
1050045,4,47758
1050047,1,2646
1050049,1,2646
1050052,2,9261
1050054,3,47477
1050058,1,7938
1050060,1,2646
1050061,1,7938
1050062,1,2646
1050063,5,42336
1050066,1,2646
1050067,2,17993
1050073,6,62051
1050077,5,50992
1050083,2,15082
1050096,2,13201
1050099,6,58212
1050100,22,211984
1050101,22,173563
1050103,2,11529
1050106,9,90851
1050108,9,71471
1050109,4,26914
1050110,8,127120
1050111,1,3969
1050113,1,9261
1050115,1,7938
1050116,1,9261
1050118,3,26082
1050119,4,13230
1050120,9,33205
1050121,1,3969
1050122,2,5292
1050125,1,3969
1050126,1,3969
1050128,1,3969
1050130,1,3969
1050131,1,3969
1050134,2,18455
1050135,1,9875
1050139,1,3969
1050141,2,10584
1050142,13,121216
1050145,1,3969
1050148,24,155056
1050150,1,3969
1050151,1,3969
1050153,1,3969
1050155,2,11529
1050157,1,3969
1050159,1,12604
1050161,3,17010
1050162,1,7938
1050164,5,51455
1050165,2,26392
1050166,1,9261
1050167,3,21357
1050168,1,3969
1050169,2,12946
1050171,1,6615
1050173,1,3969
1050174,1,3969
1050176,6,44698
1050177,2,11907
1050178,2,8694
1050182,5,37894
1050183,1,3969
1050187,1,3969
1050188,18,178850
1050189,1,2646
1050193,1,3969
1050195,1,3969
1050196,7,72832
1050198,1,3969
1050199,1,3877
1050200,4,15611
1050202,1,3969
1050203,1,11311
1050206,41,229739
1050208,17,207378
1050209,1,7938
1050210,1,3969
1050211,1,7938
1050212,2,11907
1050213,2,14024
1050214,1,3969
1050215,1,3969
1050216,1,7371
1050217,1,3969
1050218,1,3969
1050219,5,39614
1050220,10,86353
1050221,1,3969
1050224,1,3969
1050225,13,315108
1050227,1,3969
1050228,1,3969
1050229,1,3969
1050231,1,3969
1050234,1,3969
1050235,1,3969
1050236,2,30164
1060001,1,3969
1060002,1,3969
1060006,1,3969
1060007,1,8694
1060008,8,74390
1060014,4,36117
1060020,1,2646
1060021,1,2646
1060024,1,6048
1060025,9,92171
1060027,1,8694
1060029,3,20374
1060030,1,4536
1060034,4,37127
1060035,5,40446
1060037,7,65317
1060038,17,301990
1060040,1,2646
1060044,1,9072
1060046,1,5292
1060047,1,10055
1060052,16,97146
1060053,6,33674
1060055,11,107501
1060062,4,40219
1060063,1,2646
1060064,1,10055
1060065,2,9261
1060069,3,28386
1060071,11,125417
1060073,3,6615
1060077,5,39078
1060078,4,29333
1060081,2,11907
1060084,2,4536
1060089,3,15687
1060090,13,119147
1060091,3,28226
1060095,2,13230
1060096,3,23814
1060097,5,29900
1060098,2,15678
1060102,1,2646
1060103,1,4536
1060104,1,10055
1060106,1,2646
1060111,1,5292
1060113,1,2646
1060114,15,150865
1060115,1,2646
1060117,2,11839
1060118,4,43990
1060121,1,9072
1060125,1,7938
1060126,1,2646
1060128,14,155372
1060129,1,2646
1060130,1,5292
1060131,27,273976
1060133,7,75352
1060134,1,1890
1060135,2,7371
1060137,1,2646
